"","Date","Province.State","Country","Lat","Long","Confirmed","Recovered","Deaths","Active"
"49795",2020-12-13,"","Russia",61.52401,105.318756,2629699,2086887,46404,496408
"49796",2020-12-13,"","Rwanda",-1.9403,29.8739,6659,5955,56,648
"49797",2020-12-13,"","Saint Kitts and Nevis",17.357822,-62.782998,27,23,0,4
"49798",2020-12-13,"","Saint Lucia",13.9094,-60.9789,275,203,4,68
"49799",2020-12-13,"","Saint Vincent and the Grenadines",12.9843,-61.2872,98,81,0,17
"49800",2020-12-13,"","Samoa",-13.759,-172.1046,2,2,0,0
"49801",2020-12-13,"","San Marino",43.9424,12.4578,1932,1575,51,306
"49802",2020-12-13,"","Sao Tome and Principe",0.1864,6.6131,1009,950,17,42
"49803",2020-12-13,"","Saudi Arabia",23.885942,45.079162,359888,350549,6048,3291
"49804",2020-12-13,"","Senegal",14.4974,-14.4524,17075,16094,349,632
"49805",2020-12-13,"","Serbia",44.0165,21.0059,266432,0,2331,264101
"49806",2020-12-13,"","Seychelles",-4.6796,55.492,187,182,0,5
"49807",2020-12-13,"","Sierra Leone",8.460555,-11.779889,2440,1850,75,515
"49808",2020-12-13,"","Singapore",1.2833,103.8333,58320,58208,29,83
"49809",2020-12-13,"","Slovakia",48.669,19.699,132984,97068,1175,34741
"49810",2020-12-13,"","Slovenia",46.1512,14.9955,96314,73377,2063,20874
"49811",2020-12-13,"","Solomon Islands",-9.6457,160.1562,17,5,0,12
"49812",2020-12-13,"","Somalia",5.152149,46.199616,4579,3529,121,929
"49813",2020-12-13,"","South Africa",-30.5595,22.9375,860964,761011,23276,76677
"49814",2020-12-13,"","South Sudan",6.877,31.307,3206,3043,62,101
"49815",2020-12-13,"","Spain",40.463667,-3.74922,1730575,150376,47624,1532575
"49816",2020-12-13,"","Sri Lanka",7.873054,80.771797,32790,23793,152,8845
"49817",2020-12-13,"","Sudan",12.8628,30.2176,21386,12313,1347,7726
"49818",2020-12-13,"","Suriname",3.9193,-56.0278,5353,5224,117,12
"49819",2020-12-13,"","Sweden",60.128161,18.643501,320098,0,7514,312584
"49820",2020-12-13,"","Switzerland",46.8182,8.2275,373831,291500,5985,76346
"49821",2020-12-13,"","Syria",34.802075,38.996815,9166,0,518,8648
"49822",2020-12-13,"","Taiwan*",23.7,121,736,606,7,123
"49823",2020-12-13,"","Tajikistan",38.861,71.2761,12704,12133,88,483
"49824",2020-12-13,"","Tanzania",-6.369028,34.888822,509,183,21,305
"49825",2020-12-13,"","Thailand",15.870032,100.992541,4237,3940,60,237
"49826",2020-12-13,"","Timor-Leste",-8.874217,125.727539,31,0,0,31
"49827",2020-12-13,"","Togo",8.6195,0.8248,3251,2771,66,414
"49828",2020-12-13,"","Trinidad and Tobago",10.6918,-61.2225,6879,6145,122,612
"49829",2020-12-13,"","Tunisia",33.886917,9.537499,111361,84741,3894,22726
"49830",2020-12-13,"","Turkey",38.9637,35.2433,1836728,1603780,16417,216531
"49831",2020-12-13,"","US",40,-100,16325615,6298082,299231,9728302
"49832",2020-12-13,"","Uganda",1.373333,32.290275,27532,9826,221,17485
"49833",2020-12-13,"","Ukraine",48.3794,31.1656,918444,520912,15691,381841
"49834",2020-12-13,"","United Arab Emirates",23.424076,53.847818,184949,163679,617,20653
"49835",2020-12-13,"Anguilla","United Kingdom",18.2206,-63.0686,10,4,0,6
"49836",2020-12-13,"Bermuda","United Kingdom",32.3078,-64.7505,391,233,9,149
"49837",2020-12-13,"British Virgin Islands","United Kingdom",18.4207,-64.64,76,72,1,3
"49838",2020-12-13,"Cayman Islands","United Kingdom",19.3133,-81.2546,298,267,2,29
"49839",2020-12-13,"Channel Islands","United Kingdom",49.3723,-2.3644,2068,1291,48,729
"49840",2020-12-13,"Falkland Islands (Malvinas)","United Kingdom",-51.7963,-59.5236,17,17,0,0
"49841",2020-12-13,"Gibraltar","United Kingdom",36.1408,-5.3536,1075,1032,5,38
"49842",2020-12-13,"Isle of Man","United Kingdom",54.2361,-4.5481,370,344,25,1
"49843",2020-12-13,"Montserrat","United Kingdom",16.742498,-62.187366,13,12,1,0
"49844",2020-12-13,"Turks and Caicos Islands","United Kingdom",21.694,-71.7979,769,741,6,22
"49845",2020-12-13,"","United Kingdom",55.3781,-3.436,1849403,0,64170,1785233
"49846",2020-12-13,"","Uruguay",-32.5228,-55.7658,9708,6358,92,3258
"49847",2020-12-13,"","Uzbekistan",41.377491,64.585262,74956,72243,612,2101
"49848",2020-12-13,"","Vanuatu",-15.3767,166.9592,1,1,0,0
"49849",2020-12-13,"","Venezuela",6.4238,-66.5897,107786,102289,954,4543
"49850",2020-12-13,"","Vietnam",14.058324,108.277199,1397,1241,35,121
"49851",2020-12-13,"","West Bank and Gaza",31.9522,35.2332,109738,85110,978,23650
"49852",2020-12-13,"","Yemen",15.552727,48.516388,2083,1383,606,94
"49853",2020-12-13,"","Zambia",-13.133897,27.849332,18274,17388,367,519
"49854",2020-12-13,"","Zimbabwe",-19.015438,29.154857,11246,9451,307,1488
"49855",2020-12-13,"","Canada",56.1304,-106.3468,0,378653,0,-378653
"49856",2020-12-13,"Hebei","China",37.8957,114.9042,0,367,0,-367
"49857",2020-12-13,"Henan","China",33.882,113.614,0,1266,0,-1266
"49858",2020-12-13,"","Mozambique",-18.6657,35.5296,0,14818,0,-14818
"49859",2020-12-13,"","Syria",34.8021,38.9968,0,4376,0,-4376
"49860",2020-12-13,"","Timor-Leste",-8.8742,125.7275,0,30,0,-30
